"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"pageSize=3 时，单页最多返回 3 条。","30","test_user_pagination_respected","","2026-08-24","passed","2026-08-24","","test_user","",""
"","12","test_login_empty_password","","2026-08-24","passed","2026-08-24","","test_login","",""
"数据驱动：一组参数一次覆盖四类场景。","85","test_login_parametrized[admin-wrongpwd-500]","","2026-08-24","passed","2026-08-24","","test_login","",""
"","25","test_pageSize_too_large_should_be_limited","","2026-08-24","skipped","2026-08-24","","test_boundary","",""
"数据驱动：一组参数一次覆盖四类场景。","12","test_login_parametrized[-admin123-500]","","2026-08-24","passed","2026-08-24","","test_login","",""
"观察项：pageSize=0 的边界行为（接口不应抛 500）。","144","test_pageSize_zero_does_not_error","","2026-08-24","passed","2026-08-24","","test_boundary","",""
"","92","test_login_wrong_password","","2026-08-24","passed","2026-08-24","","test_login","",""
"","20","test_login_empty_username","","2026-08-24","passed","2026-08-24","","test_login","",""
"数据驱动：一组参数一次覆盖四类场景。","141","test_login_parametrized[admin-admin123-200]","","2026-08-24","passed","2026-08-24","","test_login","",""
"","145","test_login_success_returns_token","","2026-08-24","passed","2026-08-24","","test_login","",""
"","26","test_pageNum_invalid_should_be_rejected","","2026-08-24","skipped","2026-08-24","","test_boundary","",""
"核心增删改查：创建 -> 校验存在 -> 修改状态 -> 删除 -> 校验不存在。","362","test_create_update_delete_user","","2026-08-24","passed","2026-08-24","","test_user","",""
"按用户名模糊查询，返回结果应都包含关键字。","37","test_user_list_filter_by_keyword","","2026-08-24","passed","2026-08-24","","test_user","",""
"","24","test_user_list_returns_data","","2026-08-24","passed","2026-08-24","","test_user","",""
"数据一致性（接口层）：rows 内 userId 不允许重复。","22","test_user_data_consistency","","2026-08-24","passed","2026-08-24","","test_user","",""
"","15","test_pageSize_negative_should_be_rejected","","2026-08-24","skipped","2026-08-24","","test_boundary","",""
"数据驱动：一组参数一次覆盖四类场景。","13","test_login_parametrized[admin--500]","","2026-08-24","passed","2026-08-24","","test_login","",""
